Number,ID,Type,Substrate Temp,Surface Temp,Ambient Temp,Canopy Closure,Rock Cover,Leaf Cover,Veg Cover,Fallen Log Cover,WSH,Cover Height,Dist. To Cover,Log Diameter,Dist. To Water,Depth,%Land,%Water,%Woody debris,%Floating Veg,%Bare soil,Group,SVL,TL,MASS,UTM_mE,UTM_mN,Dates,Time 
124,985 121019101876,SNAKE,20,20,22,88,0,0,70,0,0,0,1000,0,0,16,0,100,0,0,0,FEMALE,604,103,265,491582,4015979,4/30/2013,19:10:00
125,985 120023741679,SNAKE,19,20,21,100,0,0,5,0,0,0,1000,0,0,19,0,100,0,0,0,FEMALE,632,110,302,491600,4015982,4/30/2013,19:35:00
126,985 120018527293,SNAKE,19,20,21,100,0,0,5,0,0,0,1000,0,0,25,0,100,0,0,0,FEMALE,572,121,292,491526,4016008,4/30/2013,19:55:00
130,5006E3074,SNAKE,21,21,27,2,0,0,5,0,0,0,1000,0,0,17,0,100,0,0,0,FEMALE,575,108,300,491429,4016042,5/9/2013,10:40:00
143,5006601800,SNAKE,25,30,27,3,0,0,10,80,0,41,0,38,68,0,100,0,0,0,10,FEMALE,694,108,595,491171,4016273,6/3/2013,15:30:00
151,x,GENERAL,35,35,29,71,0,90,1,9,0,25,0,25,1000,0,100,0,0,0,0,HABITAT,0,0,0,490874,4016729,8/12/2012,13:30:00
152,x,GENERAL,29,29,29,91,0,0,0,0,0,6.5,325,8,1000,0,100,0,0,0,0,HABITAT,0,0,0,490948,4016680,8/12/2012,13:43:00
153,x,GENERAL,28.5,28.5,27,91,0,100,0,0,240,0.9,66,0,1000,0,100,0,5,0,0,HABITAT,0,0,0,491453,4016371,8/12/2012,14:04:00
154,x,GENERAL,29,29,27,79,100,0,0,0,0,6.5,1.9,7,1000,0,100,0,3,0,0,HABITAT,0,0,0,491915,4016160,8/12/2012,14:19:00
155,x,GENERAL,27,27,30,80,100,0,0,0,0,11,100,0,0,5,70,30,0,0,0,HABITAT,0,0,0,492540,4015876,8/12/2012,14:36:00
156,x,GENERAL,29,29,28,93,0,0,30,0,0,7,127,8.5,1000,0,0,0,0,0,70,HABITAT,0,0,0,492540,4015876,8/12/2012,14:50:00
158,x,GENERAL,27.5,27.5,30.5,96,5,5,2,0,2000,118,81.1,118,550,0,100,0,10,2,50,HABITAT,0,0,0,491836,4016175,6/18/2012,13:25:00
159,x,GENERAL,31,31,28.5,92,5,95,0,0,0,17.4,0,16,1000,0,100,0,0,0,0,HABITAT,0,0,0,491834,4016174,6/18/2012,13:30:00
160,x,GENERAL,25,25,26,90,0,0,40,0,600,43,0,0,0,2,40,60,0,0,0,HABITAT,0,0,0,491257,4016503,7/20/2012,10:50:00
161,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491258,4016491,6/7/2012,12:19:00
162,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491258,4016491,6/7/2012,12:19:00
163,x,GENERAL,27,27,28.5,50,60,0,10,30,0,15.5,0,24,390,0,100,0,0,0,0,HABITAT,0,0,0,491258,4016491,6/7/2012,12:19:00
164,x,GENERAL,26,26,28,94,90,0,5,5,0,32,0,34,0,5,95,5,5,0,0,HABITAT,0,0,0,491345,4016530,8/3/2012,12:49:00
165,x,GENERAL,23,25.5,24.5,10,0,0,0,0,0,39,0,39,0,79,0,100,0,100,0,HABITAT,0,0,0,491333,4016232,8/17/2012,13:58:00
166,x,GENERAL,27,27,27,87,20,80,0,0,97,3,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492431,4015914,8/3/2012,10:40:00
167,x,GENERAL,24,24,24,89,35,25,0,0,0,2,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492493,4015884,8/3/2012,10:18:00
168,x,GENERAL,25,25,26,77,0,100,0,0,0,3.5,50,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492452,4015913,8/3/2012,10:30:00
169,x,GENERAL,23,23,22,84,10,90,0,0,0,2,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491155,4016549,8/12/2012,11:05:00
170,x,GENERAL,29,29,29.5,83,100,0,0,0,190,4,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491675,4016263,8/3/2012,11:54:00
171,x,GENERAL,20.5,20.5,20,86,60,38,2,0,300,2,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,492485,4015895,8/12/2012,9:30:00
172,x,GENERAL,21,21,20.5,81,60,20,0,0,0,12,0,6,1000,0,100,0,0,0,0,HABITAT,0,0,0,492245,4016016,8/12/2012,10:00:00
173,x,GENERAL,23,23,26,86,20,40,0,0,0,2.7,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491155,4016549,8/12/2012,11:20:00
174,x,GENERAL,23.5,23.5,25,73,50,50,0,0,0,3.6,6,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,490786,4016782,8/12/2012,11:53:00
175,x,GENERAL,27,27,30.5,94,0,10,0,0,0,30.7,0,0,1000,0,100,0,100,0,0,HABITAT,0,0,0,491821,4016178,6/18/2012,13:10:00
176,x,GENERAL,25.5,25.5,28,89,0,0,0,0,0,33,0,0,111,0,100,0,0,0,0,HABITAT,0,0,0,491262,4016504,8/15/2012,12:24:00
177,x,GENERAL,22,23,23,93,0,95,0,0,5.5,9,87,9,103,0,100,0,0,0,0,HABITAT,0,0,0,491282,4016281,9/20/2012,11:19:00
178,x,GENERAL,22,23,23,95,0,80,0,0,8,10,0,11,750,0,100,0,20,0,0,HABITAT,0,0,0,491301,4016287,9/20/2012,11:25:00
179,x,GENERAL,22,22.5,23,99,0,98,0,0,625,14,255,0,910,0,100,0,2,0,0,HABITAT,0,0,0,491314,4016306,9/20/2012,11:28:00
180,x,GENERAL,22,24,23,75,0,90,0,0,1000,10,125,0,1000,0,100,0,10,0,0,HABITAT,0,0,0,491306,4016320,9/20/2012,11:32:00
181,x,GENERAL,21,22,23.5,97,0,20,0,0,1500,18,0,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491300,4016534,9/20/2012,11:36:00
182,x,GENERAL,20,21,24,89,0,10,0,0,0,14,59,16,1000,0,100,0,0,0,90,HABITAT,0,0,0,491276,4016342,9/20/2012,11:40:00
183,x,GENERAL,20,20,24,71,0,0,0,0,0,15,80,26,0,7,0,100,0,0,0,HABITAT,0,0,0,491292,4016265,9/20/2012,12:05:00
184,x,GENERAL,20,26,24.5,13,0,0,0,0,0,18,155,18,0,41,0,100,0,100,0,HABITAT,0,0,0,491304,4016254,9/20/2012,12:11:00
185,x,GENERAL,17,22,24.5,29,0,0,0,0,0,14,75,14,0,24,0,100,0,100,0,HABITAT,0,0,0,491289,4016254,9/20/2012,12:15:00
186,x,GENERAL,23,25,24,15,0,0,0,0,0,41,355,0,0,12,30,70,0,70,0,HABITAT,0,0,0,491279,4016259,9/20/2012,12:20:00
187,x,GENERAL,26,27,24,0,0,0,0,0,0,0,1000,0,0,61,0,100,0,0,0,HABITAT,0,0,0,491131,4016267,9/20/2012,12:33:00
188,x,GENERAL,20,27,24,0,0,0,0,0,0,0,1000,0,0,46,0,100,0,0,0,HABITAT,0,0,0,491132,4016258,9/20/2012,12:38:00
189,x,GENERAL,21,27,24,0,0,0,0,0,0,59,250,0,0,40,0,100,0,0,0,HABITAT,0,0,0,491125,4016226,9/20/2012,12:45:00
190,x,GENERAL,23,24,33,88,0,0,5,0,271,32,190,33,0,31,0,100,0,95,0,HABITAT,0,0,0,491174,4016238,9/20/2012,12:49:00
191,x,GENERAL,25,31,31,23,0,0,100,0,0,69,209,0,0,75,0,100,0,100,0,HABITAT,0,0,0,491211,4016216,7/20/2012,11:54:00
192,x,GENERAL,27,31,36,4,0,0,100,0,0,30,408,0,0,37,0,100,0,100,0,HABITAT,0,0,0,491272,4016213,7/20/2012,12:25:00
193,x,GENERAL,27,34,37,57,0,0,90,10,0,24,0,24,0,58,0,100,10,90,0,HABITAT,0,0,0,491313,4016242,7/20/2012,12:51:00
194,x,GENERAL,23,23,24,78,0,0,0,0,1200,6.5,363,7,0,27.4,0,100,0,0,0,HABITAT,0,0,0,491320,4016264,7/20/2012,13:08:00
195,x,GENERAL,26,26,29,0,0,0,100,0,0,0,1000,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491206,4016328,7/20/2012,12:17:00
196,x,GENERAL,26,26,29,0,0,0,100,0,0,0,1000,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491122,4016043,8/8/2012,13:15:00
197,x,GENERAL,26,26,29,0,0,0,100,0,0,0,1000,0,1000,0,100,0,0,0,0,HABITAT,0,0,0,491164,4016217,8/8/2012,13:20:00
